dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,111.777563,150.537758,0.005000,1.000000,100.000000,10000.000000,6.282341
0.010000,111.779957,150.537756,0.007395,0.239454,-76.054624,-17605.462355,6.282536
0.010000,111.783946,150.537754,0.011383,0.398894,15.944007,9199.863021,6.282862
0.010000,111.799673,150.537754,0.027111,1.572705,117.381112,10143.710511,0.000132
0.010000,111.851842,150.537776,0.079279,5.216844,364.413940,24703.282787,0.000717
0.010000,111.915593,150.537845,0.143031,6.375165,115.832066,-24858.187356,0.001432
0.010000,111.990921,150.537984,0.218359,7.532826,115.766132,-6.593426,0.002275
0.010000,112.077819,150.538224,0.305257,8.689811,115.698444,-6.768799,0.003246
0.010000,112.176278,150.538598,0.403716,9.845936,115.612511,-8.593291,0.004345
0.010000,112.286288,150.539143,0.513728,11.001195,115.525895,-8.661586,0.005570
0.010000,112.407840,150.539902,0.635283,12.155427,115.423210,-10.268474,0.006922
0.010000,112.540920,150.540922,0.768366,13.308368,115.294140,-12.907044,0.008398
0.010000,112.685514,150.542252,0.912966,14.460005,115.163686,-13.045407,0.009998
0.010000,112.841608,150.543947,1.069069,15.610314,115.030917,-13.276834,0.011721
0.010000,113.009186,150.546066,1.236660,16.759100,114.878606,-15.231118,0.013565
0.010000,113.188228,150.548671,1.415722,17.906170,114.706986,-17.161988,0.015529
0.010000,113.378716,150.551827,1.606235,19.051333,114.516308,-19.067799,0.017612
0.010000,113.580626,150.555606,1.808182,20.194614,114.328100,-18.820873,0.019811
0.010000,113.793937,150.560080,2.021540,21.335798,114.118403,-20.969681,0.022126
0.010000,114.018625,150.565325,2.246288,22.474854,113.905527,-21.287579,0.024555
0.010000,114.254660,150.571422,2.482402,23.611409,113.655549,-24.997858,0.027095
0.010000,114.502015,150.578454,2.729857,24.745467,113.405833,-24.971536,0.029744
0.010000,114.760658,150.586507,2.988625,25.876823,113.135539,-27.029402,0.032501
0.010000,115.030558,150.595669,3.258681,27.005541,112.871819,-26.372030,0.035362
0.010000,115.311677,150.606031,3.539991,28.131026,112.548534,-32.328495,0.038326
0.010000,115.603980,150.617689,3.832526,29.253565,112.253875,-29.465890,0.041391
0.010000,115.907426,150.630737,4.136253,30.372651,111.908607,-34.526764,0.044552
0.010000,116.221974,150.645273,4.451136,31.488325,111.567422,-34.118540,0.047808
0.010000,116.547579,150.661399,4.777140,32.600368,111.204252,-36.316991,0.051155
0.010000,116.884193,150.679214,5.114226,33.708566,110.819756,-38.449612,0.054591
0.010000,117.231768,150.698821,5.462353,34.812747,110.418153,-40.160306,0.058111
0.010000,117.590253,150.720326,5.821482,35.912919,110.017219,-40.093393,0.061714
0.010000,117.959591,150.743831,6.191568,37.008581,109.566165,-45.105368,0.065394
0.010000,118.339727,150.769443,6.572566,38.099776,109.119531,-44.663452,0.069149
0.010000,118.730601,150.797268,6.964429,39.186314,108.653777,-46.575421,0.072975
0.010000,119.132151,150.827410,7.367109,40.267977,108.166277,-48.749931,0.076867
0.010000,119.544312,150.859975,7.780554,41.344556,107.657950,-50.832684,0.080822
0.010000,119.967017,150.895069,8.204713,42.415853,107.129694,-52.825664,0.084835
0.010000,120.400196,150.932795,8.639531,43.481859,106.600578,-52.911534,0.088901
0.010000,120.843776,150.973256,9.084953,44.542148,106.028856,-57.172246,0.093018
0.010000,121.297682,151.016555,9.540920,45.596715,105.456753,-57.210267,0.097178
0.010000,121.761839,151.062789,10.007374,46.645352,104.863698,-59.305542,0.101378
0.010000,122.236165,151.112059,10.484252,47.687861,104.250855,-61.284281,0.105613
0.010000,122.720580,151.164458,10.971493,48.724054,103.619339,-63.151641,0.109878
0.010000,123.214999,151.220079,11.469030,49.753756,102.970206,-64.913222,0.114167
0.010000,123.719336,151.279013,11.976799,50.776896,102.313993,-65.621380,0.118475
0.010000,124.233503,151.341346,12.494731,51.793174,101.627830,-68.616217,0.122796
0.010000,124.757411,151.407160,13.022756,52.802519,100.934484,-69.334609,0.127124
0.010000,125.290967,151.476533,13.560804,53.804755,100.223612,-71.087221,0.131455
0.010000,125.834079,151.549542,14.108801,54.799720,99.496443,-72.716908,0.135781
0.010000,126.386653,151.626254,14.666673,55.787261,98.754106,-74.233695,0.140097
0.010000,126.948591,151.706737,15.234346,56.767242,97.998094,-75.601261,0.144397
0.010000,127.519797,151.791048,15.811741,57.739529,97.228699,-76.939436,0.148674
0.010000,128.100174,151.879242,16.398781,58.703970,96.444170,-78.452910,0.152922
0.010000,128.689623,151.971368,16.995385,59.660444,95.647366,-79.680419,0.157135
0.010000,129.288044,152.067468,17.601474,60.608821,94.837661,-80.970504,0.161305
0.010000,129.895338,152.167577,18.216963,61.548977,94.015603,-82.205826,0.165427
0.010000,130.511404,152.271725,18.841771,62.480797,93.182054,-83.354811,0.169493
0.010000,131.136144,152.379934,19.475813,63.404148,92.335092,-84.696273,0.173497
0.010000,131.769456,152.492219,20.119002,64.318954,91.480583,-85.450860,0.177430
0.010000,132.411242,152.608587,20.771253,65.225054,90.609991,-87.059178,0.181288
0.010000,133.061403,152.729038,21.432477,66.122390,89.733649,-87.634210,0.185061
0.010000,133.719840,152.853563,22.102585,67.010838,88.844748,-88.890078,0.188743
0.010000,134.386455,152.982145,22.781488,67.890299,87.946075,-89.867326,0.192327
0.010000,135.061152,153.114759,23.469095,68.760650,87.035148,-91.092762,0.195805
0.010000,135.743836,153.251370,24.165313,69.621829,86.117927,-91.722028,0.199170
0.010000,136.434412,153.391936,24.870050,70.473710,85.188022,-92.990541,0.202414
0.010000,137.132788,153.536405,25.583212,71.316208,84.249866,-93.815603,0.205529
0.010000,137.838873,153.684713,26.304704,72.149200,83.299211,-95.065469,0.208508
0.010000,138.552576,153.836789,27.034430,72.972589,82.338844,-96.036693,0.211343
0.010000,139.273811,153.992552,27.772293,73.786274,81.368501,-97.034359,0.214026
0.010000,140.002491,154.151909,28.518194,74.590151,80.387732,-98.076815,0.216548
0.010000,140.738532,154.314758,29.272035,75.384100,79.394901,-99.283144,0.218903
0.010000,141.481852,154.480985,30.033715,76.167975,78.387498,-100.740261,0.221081
0.010000,142.232370,154.650467,30.803132,76.941688,77.371302,-101.619663,0.223074
0.010000,142.985002,154.821923,31.575046,77.191380,24.969148,-5240.215428,0.224863
0.010000,143.734739,154.994045,32.344287,76.924103,-26.727690,-5169.683713,0.226434
0.010000,144.481622,155.166661,33.110858,76.657111,-26.699156,2.853381,0.227786
0.010000,145.225692,155.339603,33.874761,76.390365,-26.674573,2.458277,0.228921
0.010000,145.966989,155.512702,34.636000,76.123849,-26.651613,2.296007,0.229839
0.010000,146.705552,155.685793,35.394575,75.857514,-26.633528,1.808516,0.230539
0.010000,147.441422,155.858711,36.150488,75.591318,-26.619552,1.397566,0.231021
0.010000,148.174636,156.031295,36.903740,75.325220,-26.609837,0.971535,0.231287
0.010000,148.905234,156.203385,37.654332,75.059175,-26.604508,0.532882,0.231335
0.010000,149.633253,156.374820,38.402264,74.793141,-26.603412,0.109634,0.231166
0.010000,150.358729,156.545445,39.147534,74.527072,-26.606865,-0.345372,0.230780
0.010000,151.081698,156.715102,39.890144,74.260923,-26.614889,-0.802331,0.230177
0.010000,151.802196,156.883638,40.630090,73.994651,-26.627226,-1.233739,0.229356
0.010000,152.520254,157.050901,41.367372,73.728214,-26.643715,-1.648849,0.228318
0.010000,153.235907,157.216737,42.101988,73.461573,-26.664130,-2.041587,0.227062
0.010000,153.949184,157.380998,42.833935,73.194702,-26.687103,-2.297225,0.225589
0.010000,154.660117,157.543534,43.563210,72.927549,-26.715252,-2.814930,0.223897
0.010000,155.365675,157.703509,44.286677,72.346643,-58.090582,-3137.533010,0.221995
0.010000,156.061213,157.859751,44.999548,71.287114,-105.952978,-4786.239560,0.219902
0.010000,156.745182,158.011826,45.700219,70.067134,-121.997920,-1604.494265,0.217629
0.010000,157.417691,158.159689,46.388792,68.857230,-120.990475,100.744527,0.215184
0.010000,158.078846,158.303305,47.065365,67.657324,-119.990566,99.990907,0.212577
0.010000,158.728748,158.442650,47.730037,66.467253,-119.007106,98.345982,0.209814
0.010000,159.367494,158.577710,48.382907,65.286929,-118.032390,97.471649,0.206904
0.010000,159.995180,158.708477,49.024069,64.116237,-117.069163,96.322642,0.203854
0.010000,160.611895,158.834956,49.653620,62.955079,-116.115781,95.338251,0.200673
0.010000,161.217727,158.957156,50.271653,61.803354,-115.172593,94.318729,0.197369
0.010000,161.812760,159.075097,50.878263,60.660932,-114.242137,93.045643,0.193948
0.010000,162.397077,159.188805,51.473540,59.527740,-113.319169,92.296778,0.190418
0.010000,162.970755,159.298312,52.057577,58.403684,-112.405665,91.350411,0.186787
0.010000,163.533873,159.403657,52.630463,57.288633,-111.505120,90.054483,0.183062
0.010000,164.086503,159.504887,53.192288,56.182508,-110.612494,89.262641,0.179250
0.010000,164.628718,159.602051,53.743140,55.085201,-109.730706,88.178831,0.175359
0.010000,165.160587,159.695208,54.283106,53.996590,-108.861101,86.960501,0.171396
0.010000,165.682179,159.784417,54.812272,52.916599,-107.999052,86.204831,0.167367
0.010000,166.193560,159.869745,55.330723,51.845086,-107.151304,84.774854,0.163280
0.010000,166.694794,159.951263,55.838543,50.781955,-106.313080,83.822380,0.159142
0.010000,167.185944,160.029044,56.335814,49.727084,-105.487160,82.591974,0.154958
0.010000,167.667071,160.103167,56.822617,48.680348,-104.673577,81.358270,0.150737
0.010000,168.138236,160.173711,57.299033,47.641625,-103.872288,80.128981,0.146484
0.010000,168.599496,160.240763,57.765141,46.610781,-103.084387,78.790059,0.142206
0.010000,169.050908,160.304407,58.221018,45.587690,-102.309122,77.526516,0.137908
0.010000,169.492529,160.364734,58.666740,44.572195,-101.549507,75.961504,0.133599
0.010000,169.924412,160.421834,59.102382,43.564176,-100.801877,74.762973,0.129282
0.010000,170.346612,160.475800,59.528016,42.563475,-100.070109,73.176762,0.124965
0.010000,170.759180,160.526727,59.943716,41.569946,-99.352854,71.725571,0.120654
0.010000,171.162167,160.574710,60.349550,40.583406,-98.654023,69.883039,0.116353
0.010000,171.555624,160.619846,60.745587,39.603745,-97.966098,68.792490,0.112069
0.010000,171.939600,160.662233,61.131895,38.630756,-97.298934,66.716404,0.107807
0.010000,172.314141,160.701969,61.508538,37.664314,-96.644195,65.473936,0.103573
0.010000,172.679295,160.739152,61.875580,36.704212,-96.010152,63.404302,0.099370
0.010000,173.035107,160.773880,62.233083,35.750289,-95.392347,61.780531,0.095206
0.010000,173.381622,160.806252,62.581107,34.802385,-94.790363,60.198347,0.091084
0.010000,173.718884,160.836365,62.919710,33.860348,-94.203695,58.666810,0.087010
0.010000,174.046934,160.864318,63.248949,32.923897,-93.645145,55.854988,0.082987
0.010000,174.365815,160.890207,63.568880,31.993018,-93.087867,55.727815,0.079021
0.010000,174.675566,160.914127,63.879553,31.067370,-92.564797,52.306968,0.075115
0.010000,174.976228,160.936175,64.181022,30.146860,-92.051077,51.372095,0.071274
0.010000,175.267837,160.956443,64.473335,29.231323,-91.553699,49.737775,0.067503
0.010000,175.550432,160.975024,64.756540,28.320463,-91.085931,46.776790,0.063804
0.010000,175.824048,160.992009,65.030683,27.414278,-90.618526,46.740482,0.060181
0.010000,176.088720,161.007487,65.295807,26.512486,-90.179197,43.932863,0.056639
0.010000,176.344483,161.021545,65.551957,25.614912,-89.757437,42.176080,0.053180
0.010000,176.591369,161.034271,65.799170,24.721334,-89.357764,39.967300,0.049809
0.010000,176.829410,161.045746,66.037487,23.831706,-88.962776,39.498813,0.046527
0.010000,177.058636,161.056053,66.266945,22.945786,-88.592033,37.074203,0.043339
0.010000,177.279077,161.065272,66.487578,22.063353,-88.243320,34.871329,0.040246
0.010000,177.490761,161.073479,66.699421,21.184289,-87.906326,33.699412,0.037252
0.010000,177.693716,161.080750,66.902507,20.308530,-87.575951,33.037552,0.034360
0.010000,177.887967,161.087156,67.096864,19.435713,-87.281700,29.425100,0.031571
0.010000,178.073540,161.092768,67.282522,18.565790,-86.992259,28.944021,0.028889
0.010000,178.250459,161.097652,67.459508,17.698651,-86.713887,27.837188,0.026315
0.010000,178.418747,161.101875,67.627849,16.834094,-86.455707,25.818017,0.023852
0.010000,178.578425,161.105496,67.787568,15.971902,-86.219195,23.651224,0.021501
0.010000,178.729514,161.108577,67.938688,15.112000,-85.990293,22.890233,0.019264
0.010000,178.872034,161.111171,68.081231,14.254336,-85.766342,22.395059,0.017144
0.010000,179.006002,161.113334,68.215217,13.398593,-85.574321,19.202088,0.015141
0.010000,179.131436,161.115116,68.340664,12.544670,-85.392335,18.198650,0.013258
0.010000,179.248353,161.116563,68.457590,11.692565,-85.210432,18.190286,0.011495
0.010000,179.356767,161.117720,68.566010,10.842066,-85.049946,16.048568,0.009855
0.010000,179.456692,161.118629,68.665939,9.992901,-84.916441,13.350564,0.008338
0.010000,179.548142,161.119328,68.757392,9.145216,-84.768526,14.791411,0.006944
0.010000,179.631127,161.119852,68.840379,8.298730,-84.648596,11.993085,0.005677
0.010000,179.705660,161.120232,68.914913,7.453401,-84.532953,11.564220,0.004535
0.010000,179.771749,161.120499,68.981002,6.608872,-84.452829,8.012428,0.003521
0.010000,179.829402,161.120676,69.038655,5.765365,-84.350726,10.210293,0.002634
0.010000,179.878628,161.120787,69.087881,4.922573,-84.279253,7.147367,0.001875
0.010000,179.919431,161.120851,69.128684,4.080336,-84.223655,5.559726,0.001246
0.010000,179.951819,161.120883,69.161072,3.238813,-84.152263,7.139258,0.000745
0.010000,179.975794,161.120896,69.185048,2.397529,-84.128388,2.387515,0.000375
0.010000,179.991362,161.120900,69.200615,1.556716,-84.081334,4.705354,0.000134
0.010000,179.998522,161.120901,69.207775,0.716009,-84.070704,1.062989,0.000023
0.010000,180.000000,161.120901,69.209253,0.147838,-56.817109,2725.359525,6.283185
0.010000,180.000000,161.120901,69.209253,0.000000,-14.783798,4203.331046,6.283185
